PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39789257,Ultrasound-guided Transperineal Prostate Thermal Ablation (TPTA) for Benign Prostatic Hyperplasia: Feasibility of an Outpatient Procedure using Radiofrequency Ablation.,2025-Jan-09,"Thiago Franchi Nunes, Rafael Dahmer Rocha, Bibiana Ruiz Wehling Ilgenfritz, Flávio Scavone Stefanini, Vinicius Adami Vayego Fornazari, Guilherme Cayres Mariotti, Publio Cesar Cavalcante Viana, Rodrigo Gobbo Garcia, Hugo Alexandre Socrates de Castro, Denis Szejnfeld","Department of Radiology, Universidade Federal de São Paulo (UNIFESP), Rua Dr. Ovidio Pires de Campos, 75, Cerqueira César, São Paulo, SP, 05403-010, Brazil. thiagofranchinunes@gmail.com., Instituto Dahmer Rocha, Rua Orestes Guimarães, 814, América, Joinville, SC, 89204-060, Brazil., School of Medicine, Universidade de Araraquara (UNIARA), Rua Carlos Gomes, 1338, Centro, Araraquara, SP, 14801-340, Brazil., Interventix, Rua Dr. Antônio Alves Arantes, 398, Chácara Cachoeira, Campo Grande, MS, 79040-720, Brazil., Instituto Médico RAINTER, Avenida Ibirapuera, 2907, Conjuntos 901 e 902, Moema, São Paulo, SP, 04029-200, Brazil., Hospital Israelita Albert Einstein, Avenida Albert Einstein, 627/701, MorumbiSão Paulo, SP, 05652-900, Brazil., Instituto Do Câncer Do Estado de São Paulo (ICESP), Avenida Dr. Arnaldo, 251, Cerqueira César, São Paulo, SP, 01246-000, Brazil., Hospital Israelita Albert Einstein, Avenida Albert Einstein, 627/701, MorumbiSão Paulo, SP, 05652-900, Brazil., Department of Radiology, Universidade Federal de São Paulo (UNIFESP), Rua Dr. Ovidio Pires de Campos, 75, Cerqueira César, São Paulo, SP, 05403-010, Brazil., Department of Radiology, Universidade Federal de São Paulo (UNIFESP), Rua Dr. Ovidio Pires de Campos, 75, Cerqueira César, São Paulo, SP, 05403-010, Brazil.",thiagofranchinunes@gmail.com.
39789247,A novel mitochondrial-related risk model for predicting prognosis and immune checkpoint blockade therapy response in uterine corpus endometrial carcinoma.,2025-Jan-09,Ru-Gen Liao,"Department of Obstetrics and Gynecology, The Second People's Hospital of Shantou, Shantou, 515041, Guangdong, China.",
39789208,Cancer vaccines: platforms and current progress.,2025-Jan-10,,,
39789190,EGFR-targeting RNase A-cetuximab antibody-drug conjugate induces ROS-mediated apoptosis to overcome drug resistance in KRAS mutant cancer cells.,2025-Jan-09,,,
39789183,"Severe obesity, high inflammation, insulin resistance with risks of all-cause mortality and all-site cancers, and potential modification by healthy lifestyles.",2025-Jan-09,,,
39789150,Lactylation modulation identifies key biomarkers and therapeutic targets in KMT2A-rearranged AML.,2025-Jan-09,"Dan Liu, Silu Liu, Mengjia Hou, Dongyang Li","Soochow Hopes Hematonosis Hospital, Wudong Road 1339, Wuzhong District, Suzhou, 215100, China. colleenld2020@hotmail.com., Soochow Hopes Hematonosis Hospital, Wudong Road 1339, Wuzhong District, Suzhou, 215100, China., Soochow Hopes Hematonosis Hospital, Wudong Road 1339, Wuzhong District, Suzhou, 215100, China., Soochow Hopes Hematonosis Hospital, Wudong Road 1339, Wuzhong District, Suzhou, 215100, China.",colleenld2020@hotmail.com.
39789071,"Sugemule-7 alleviates oxidative stress, neuroinflammation, and cell death, promoting synaptic plasticity recovery in mice with postpartum depression.",2025-Jan-09,"Xiyue Xiong, Yuewen Chen","NHC Key Laboratory of Birth Defect for Research and Prevention, Hunan Provincial Maternal and Child Health Care Hospital, Changsha, China., Key Laboratory of Brain Connectome and Manipulation, Shenzhen Key Laboratory of Translational Research for Brain Diseases, The Brain Cognition and Brain Disease Institute, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences, Hong Kong Institute of Brain Science-Shenzhen Fundamental Research Institutions, Shenzhen, 518055, Guangdong, China. yw.chen1@siat.ac.cn.",yw.chen1@siat.ac.cn.
39789066,Y,2025-Jan-09,,,
39789065,High Ano1 expression as key driver of resistance to radiation and cisplatin in HPV-negative head and neck squamous cell carcinoma.,2025-Jan-10,"Solenne Bourdier, Anne-Sophie Fisch, Keziban Merve Alp, Ridhima Das, Philipp Mertins, Ingeborg Tinhofer","Department of Radiooncology and Radiotherapy, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Charitéplatz 1, 10117, Berlin, Germany., Department of Radiooncology and Radiotherapy, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Charitéplatz 1, 10117, Berlin, Germany., Max Delbrück Center for Molecular Medicine, Robert-Rössle-Str. 10, 13092, Berlin, Germany., Department of Radiooncology and Radiotherapy, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Charitéplatz 1, 10117, Berlin, Germany., Max Delbrück Center for Molecular Medicine, Robert-Rössle-Str. 10, 13092, Berlin, Germany., Department of Radiooncology and Radiotherapy, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Charitéplatz 1, 10117, Berlin, Germany. ingeborg.tinhofer@charite.de.",ingeborg.tinhofer@charite.de.
39789010,Alleviation of liver fibrosis by inhibiting a non-canonical ATF4-regulated enhancer program in hepatic stellate cells.,2025-Jan-09,,,
39788975,Network-based transfer of pan-cancer immunotherapy responses to guide breast cancer prognosis.,2025-Jan-10,,,
39788967,Neoadjuvant or concurrent atezolizumab with chemoradiation for locally advanced cervical cancer: a randomized phase I trial.,2025-Jan-09,"Dmitriy Zamarin, Wei Deng, Heather A Lankes, Giulio Pesci, Hayeon Kim, Barbara Banbury, Ned Sherry, Elad Sharon, Cara Mathews, Roisin O'Cearbhaill, Carol Aghajanian","Icahn School of Medicine at Mount Sinai, New York City, USA., NRG Oncology Statistics & Data Center, Buffalo, USA., NRG OncologyOperations Center-Philadelphia East, Philadelphia, USA., Memorial Sloan-Kettering Cancer Center, New York City, USA., UPMC Hillman Cancer Center, Pittsburgh, USA., Adaptive Biotechnologies Corp, Seattle, USA., Adaptive Biotechnologies Corp, Seattle, USA., Dana Faber Cancer Institute, Boston, USA., Women & Infants Hospital, Providence, USA., Memorial Sloan-Kettering Cancer Center, New York City, USA., Memorial Sloan-Kettering Cancer Center, New York City, USA.",
39788945,Enhancing immunotherapy efficacy in colorectal cancer: targeting the FGR-AKT-SP1-DKK1 axis with DCC-2036 (Rebastinib).,2025-Jan-09,"Qiting Zeng, Bingru Yan","The First Affiliated Hospital, Department of Clinical Laboratory Medicine, Hengyang, Hunan, 421001, PR China., Central Hospital of Hengyang City, Oncology Department, Hengyang, Hunan, 421001, PR China.",
39788939,CDK4 inactivation inhibits apoptosis via mitochondria-ER contact remodeling in triple-negative breast cancer.,2025-Jan-09,"Marie-Agnès Berger, Yves Gouriou, George Sflomos, Carlos Ronchi, Cathrin Brisken, Jennifer Rieusset","Laboratoire CarMeN, UMR INSERM U1060/INRA U1397, Université Claude Bernard Lyon1, F-69310, Pierre-Bénite, France., Laboratoire CarMeN, UMR INSERM U1060/INRA U1397, Université Claude Bernard Lyon1, F-69310, Pierre-Bénite, France., ISREC-Swiss Institute for Experimental Cancer Research, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland., ISREC-Swiss Institute for Experimental Cancer Research, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland., ISREC-Swiss Institute for Experimental Cancer Research, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland., Laboratoire CarMeN, UMR INSERM U1060/INRA U1397, Université Claude Bernard Lyon1, F-69310, Pierre-Bénite, France.",
39788918,Feasibility study of patient-specific four-dimensional in vivo tracking system for high-dose-rate brachytherapy: Experimental evaluation.,2025-Jan-09,"Dong-Seok Shin, Jaehyeon Seo, Dongho Shin","Proton Therapy Center, National Cancer Center, Goyang, Republic of Korea., Environmental Radioactivity Assessment Team, Korea Atomic Energy Research Institute, Daejeon, Republic of Korea., Proton Therapy Center, National Cancer Center, Goyang, Republic of Korea.",
39788912,Major ABO Incompatibility in Non-Myeloablative Hematopoietic Stem Cell Transplant for Sickle Cell Disease-Not an Insurmountable Obstacle.,2025-Jan-09,"Kimberly Ji Eun Chung, Donna A Wall, Kuang-Yueh Chiang","Blood and Marrow Transplant/Cellular Therapy Program, Division of Hematology/Oncology, The Hospital for Sick Children, Toronto, Ontario, Canada., Blood and Marrow Transplant/Cellular Therapy Program, Division of Hematology/Oncology, The Hospital for Sick Children, Toronto, Ontario, Canada., Blood and Marrow Transplant/Cellular Therapy Program, Division of Hematology/Oncology, The Hospital for Sick Children, Toronto, Ontario, Canada.",
39788889,Neoadjuvant Concurrent Chemoradiation and Esophagectomy for Esophageal Cancer: Outcomes With New-Onset Atrial Fibrillation.,2025-Jan,,,
39788886,Dendrimer-Mediated Generation of a Metal-Phenolic Network for Antibody Delivery to Elicit Improved Tumor Chemo/Chemodynamic/Immune Therapy.,2025-Jan-09,,,
39788877,Nursing practices for a patient with ALK-negative anaplastic large cell lymphoma with a cancerous wound: a case report.,2024-Dec,,,
39788823,Concomitant antihistamine administration is associated with improved survival outcomes in patients with locally advanced or metastatic urothelial carcinoma treated with atezolizumab. Analysis of individual participant data from IMvigor210 and IMvigor211.,2025-Jan-08,"Giuseppe Fallara, Bernard Malavaud","Department of Urology, IRCCS European Institute of Oncology, Milan, Italy., Department of Urology, Institut Universitaire du Cancer Toulouse - Oncopôle, Toulouse, France.",
39788816,Development and Evaluation of a Remote Monitoring Regional Adjuvant Abemaciclib Service for Patients With High-Risk Early Breast Cancer.,2024-Dec-07,"Nicole L Brown, Suzanne Frank, Siow Chin Phua, Jack E Johnson, Anne Armstrong, Caroline Wilson, Sophie Raby, Yvonne Hulmes, Fiona Britton","Department of Medical Oncology, The Christie NHS Foundation Trust, Manchester, UK., Department of Pharmacy, The Christie NHS Foundation Trust, Manchester, UK., Department of Pharmacy, The Christie NHS Foundation Trust, Manchester, UK., Department of Pharmacy, The Christie NHS Foundation Trust, Manchester, UK., Department of Medical Oncology, The Christie NHS Foundation Trust, Manchester, UK., Department of Medical Oncology, The Christie NHS Foundation Trust, Manchester, UK., Department of Medical Oncology, The Christie NHS Foundation Trust, Manchester, UK., Department of Medical Oncology, The Christie NHS Foundation Trust, Manchester, UK., Department of Medical Oncology, The Christie NHS Foundation Trust, Manchester, UK.",
39788744,Advanced-stage duodenal cancer in pregnancy.,2025-Jan-09,,,
39788650,Single cell combined with laser ablation ICP-MS to study cisplatinum (IV) loaded nanoparticles penetration pathways in osteosarcoma spheroids.,2025-Jan-22,,,
39788584,[Consensus on the management of liver injury associated with targeted drugs and immune checkpoint inhibitors for hepatocellular carcinoma ( version 2024)].,2024-Dec-20,,,
39788569,Iron-Based Nanomaterials for Modulating Tumor Microenvironment.,2025,"Xiaoting Zhang, Lulu He, Yujie Zhang, Aiguo Wu, Juan Li","Laboratory of Advanced Theranostic Materials and Technology, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo, China., Laboratory of Advanced Theranostic Materials and Technology, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo, China., Laboratory of Advanced Theranostic Materials and Technology, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo, China., Laboratory of Advanced Theranostic Materials and Technology, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo, China., Laboratory of Advanced Theranostic Materials and Technology, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo, China.",
39788567,"A Novel Microbe, Immunization Deaths, and Vaccination on Trial: BCG and the Lübeck Disaster of 1930.",2025-Jan-09,,,
39788558,Computational pathology applied to clinical colorectal cancer cohorts identifies immune and endothelial cell spatial patterns predictive of outcome.,2025-Feb,"Nicholas Trahearn, Chirine Sakr, Seung Hyun Lee, Ann-Marie Baker, Federica Morano, Francesca Bergamo, Giulia Maddalena, Rossana Intini, Chiara Cremolini, Trevor Graham, Filippo Pietrantonio, Sara Lonardi, Andrea Sottoriva","Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK., Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK., Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK., Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK., Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy., Veneto Institute of Oncology IOV-IRCCS, Padua, Italy., Veneto Institute of Oncology IOV-IRCCS, Padua, Italy., Veneto Institute of Oncology IOV-IRCCS, Padua, Italy., Computational Biology Research Centre, Human Technopole, Milan, Italy., Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK., Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy., Veneto Institute of Oncology IOV-IRCCS, Padua, Italy., Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK.",
39788520,Application of tumor organoids simulating the tumor microenvironment in basic and clinical research of tumor immunotherapy.,2024-Aug-28,,,
39788504,Alectinib treatment for 2 non-small cell lung carcinoma patients carrying different novel ,2024-Jul-28,,,
39788501,Effects of a 4,2024-Jul-28,,,
39788500,Efficacy of ,2024-Jul-28,,,
39788496,Hypophysitis associated with immune check piont inhibitors treatment: A case report and literature review.,2024-Jul-28,"Jie Wei, Xingxing Han, Yutong Ye, Tiantian Qi, Tianyan Zhou, Feng Lu, Xinlin Yan","Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000. 1105582277@qq.com., Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000., Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000., Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000., Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000., Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000., Department of Endocrinology, Kunshan Integrated Traditional and Western Medicine Hospital, Suzhou Jiangsu 215000. 734155278@qq.com.",734155278@qq.com.
39788485,P-Glycoprotein Drives Glioblastoma Survival and Chemotherapy Resistance: Potential as a Promising Liquid Biopsy Biomarker.,2025-Jan-06,"Carlos Pilotto Heming, Isabel de Souza Barbosa, Renan Lyra Miranda, Odile Nogueira Ugarte, Vitória Santório de São José, Vivaldo Moura-Neto, Veronica Aran","Programa de Pós-Graduação em Anatomia Patológica, Faculdade de Medicina, Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil; Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil., Programa de Pós-Graduação em Anatomia Patológica, Faculdade de Medicina, Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil; Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil., Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil., Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil., Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil., Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil., Programa de Pós-Graduação em Anatomia Patológica, Faculdade de Medicina, Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil; Instituto Estadual do Cérebro Paulo Niemeyer (IECPN), Rio de Janeiro, Brazil. Electronic address: varanponte@gmail.com.",varanponte@gmail.com.
39788431,Spliced exon9 ADRM1 promotes liver oncogenicity via selective degradation of tumor suppressor FBXW7.,2025-Jan-07,,,
39788429,"Acral Lentiginous Melanoma. Part II. Staging, Surgical Management, The Role of Systemic Therapy, Shortcomings and Future Directions.",2025-Jan-07,Micah Belzberg,"Department of Dermatology, Johns Hopkins School of Medicine, Baltimore, MD; Department of Dermatology, Cleveland Clinic, Cleveland, OH.",
39788400,Advancing neurological disorders therapies: Organic nanoparticles as a key to blood-brain barrier penetration.,2025-Jan-07,,,
39788396,Fap-targeting biomimetic nanosystem to restore the activated cancer-associated fibroblasts to quiescent state for breast cancer radiotherapy.,2025-Jan-07,,,
39788388,Phase I-II study of prone hypofractionated accelerated breast and nodal intensity modulated radiation therapy.,2025-Jan-07,Carmen A Perez,"St. Jude Children's Research Hospital, Memphis, TN.",
39788373,Triple-action cancer therapy using laser-activated NO-releasing metallomicellar nanophotosensitizer for pyroptosis-driven immune reprogramming.,2025-Jan-07,Woongkyu Park,"Photonic Energy Components Research Center, Korea Photonics Technology Institute (KOPTI), Gwangju 61007, South Korea.",
39788354,Integrated analyses of prognostic and immunotherapeutic significance of EZH2 in uveal melanoma.,2025-Jan-07,,,
39788274,Glutathione-responsive polypeptide nanogel encapsulates Shikonin for breast cancer therapy.,2025-Jan-07,,,
39788152,Laser-Driven Dissection Achieves Earlier Continence Recovery Than Blunt Dissection During Holmium Laser Enucleation of the Prostate.,2025-Jan,"Ahmed M Harraz, Saad Aldousari, Abdelrahman I Eltafahny, Ali Almoumen, Awad Thahir, Feras Ajrawi, Abdullah Alarbid, Ahmad Alghurair, Mohammad Alghanem, Faisal Alhajeri","Farwaniya Hospital, Farwaniya, Kuwait., Sabah Al Ahmad Urology Center, Kuwait City, Kuwait., Sabah Al Ahmad Urology Center, Kuwait City, Kuwait., Farwaniya Hospital, Farwaniya, Kuwait., Farwaniya Hospital, Farwaniya, Kuwait., Farwaniya Hospital, Farwaniya, Kuwait., Farwaniya Hospital, Farwaniya, Kuwait., Farwaniya Hospital, Farwaniya, Kuwait., Jaber Al Ahmad Military Hospital, Kuwait City, Kuwait., Farwaniya Hospital, Farwaniya, Kuwait.",
39788148,YAP1 is a prognostic marker and its inhibition reduces tumor progression in adrenocortical tumors.,2025-Jan-10,,,
39788133,"Claudin 18.2-targeting antibody-drug conjugate CMG901 in patients with advanced gastric or gastro-oesophageal junction cancer (KYM901): a multicentre, open-label, single-arm, phase 1 trial.",2025-Jan-06,"Jian-Wei Yang, Rakesh Kumar, Wei Liu, Bo Chen","Department of Abdominal Oncology, Fujian Cancer Hospital, Fuzhou, China., Oncology R&D, AstraZeneca, Gaithersburg, MD, USA., KYM Biosciences, Chengdu, China., KYM Biosciences, Chengdu, China.",
39788061,Overview of the epigenetic/cytotoxic dual-target inhibitors for cancer therapy.,2025-Jan-03,,,
39787980,Postradiotherapy nasopharyngeal necrosis with granulation mass: Insights from a multicentre study.,2025-Jan-08,,,
39787941,Exploring Caspase-3 overexpression in pheochromocytoma cells: Implications for cancer therapy.,2025-Jan-05,,,
39787915,"Design, synthesis, and biological evaluation of N",2024-Dec-30,Zhirong Chen,"The Second People's Hospital of Panyu Guangzhou, Guangzhou 511430, China.",
39787807,Multifunctional metal-organic frameworks with photothermal-triggered nitric oxide release for gas/photothermal synergistic cancer therapy.,2025-Jan-04,,,
39787793,Selecting systemic treatment for metastatic neuroendocrine tumors of the lung-current evidence and clinical implications.,2024-Dec-31,,,
